1994,08,608
1994,09,295
1994,10,59
1995,04,37
1995,05,307
1995,06,671
1995,07,623
1995,08,1040
1995,09,726
1995,10,506
1996,04,197
1996,05,384
1996,06,1135
1996,07,1207
1996,08,1332
1996,09,442
1996,10,195
1996,11,27
1997,03,41
1997,04,116
1997,05,545
1997,06,1483
1997,07,1756
1997,08,1818
1997,09,925
1997,10,79
1998,04,176
1998,05,776
1998,06,1245
1998,07,1615
1998,08,1558
1998,09,1132
1998,10,63
1999,04,298
1999,05,682
1999,06,1655
1999,07,1689
1999,08,1450
1999,09,1542
1999,10,149
1999,11,61
2000,03,40
2000,04,276
2000,05,938
2000,06,1352
2000,07,1656
2001,04,57
2001,11,7
2002,03,37
2003,03,81
2003,11,3
2004,03,57
2005,03,73
2007,03,115
2007,11,10
2009,10,14
2010,03,9
2011,03,33
2012,02,4
2013,04,136
2013,05,1531
2014,03,102
1980,04,90
1980,05,366
1980,06,628
1989,11,3
1990,02,2
2002,10,16
1961,11,1
1972,11,2
1974,10,5
1970,04,1
1975,11,1
1976,02,2
1982,11,1
1984,03,1
1989,02,1
1989,03,1
1993,03,1
1995,03,1
1998,02,2
1998,03,3
1950,03,1
1950,04,19
1950,05,97
1950,06,171
1950,07,140
1950,08,165
1950,09,86
1950,10,27
1951,04,4
1951,05,67
1951,06,157
1951,07,185
1951,08,190
1951,09,123
1951,10,19
1952,04,42
1952,05,82
1952,06,142
1952,07,189
1952,08,165
1952,09,46
1953,03,4
1953,04,24
1953,05,102
1953,06,157
1953,07,198
1953,08,167
1953,09,72
1953,10,39
1953,12,2
1954,04,2
1954,05,119
1954,06,170
1954,07,202
1954,08,171
1954,09,91
1954,10,8
1955,04,9
1955,05,29
1955,06,134
1955,07,195
1955,08,181
1977,03,1
